Detector, Extractor,Mean, Cemera based TTC,,,,,,,,,,,
FAST,BRISK,,12.2019,,,,,,,,,,,
FAST,BRISK,,11.3651,,,,,,,,,,,
FAST,BRISK,,14.0617,,,,,,,,,,,
FAST,BRISK,,12.6268,,,,,,,,,,,
FAST,BRISK,,#NAME?,,,,,,,,,,,
FAST,BRISK,,13.4302,,,,,,,,,,,
FAST,BRISK,,12.7282,,,,,,,,,,,
FAST,BRISK,,12.1352,,,,,,,,,,,
FAST,BRISK,,#NAME?,,,,,,,,,,,
FAST,BRISK,,13.7007,,,,,,,,,,,
FAST,BRISK,,13.0631,,,,,,,,,,,
FAST,BRISK,,11.8008,,,,,,,,,,,
FAST,BRISK,,12.5741,,,,,,,,,,,
FAST,BRISK,,11.711,,,,,,,,,,,
FAST,BRISK,,12.2393,,,,,,,,,,,
FAST,BRISK,,12.8351,,,,,,,,,,,
FAST,BRISK,,10.8,,,,,,,,,,,
FAST,BRISK,,12.63,,,,,,,,,,,
------------------------------------------------,,#NAME?,#NAME?,,,,,,,,,,,
FAST,BRIEF,,12.3254,,,,,,,,,,,
FAST,BRIEF,,12.5287,,,,,,,,,,,
FAST,BRIEF,,14.8637,,,,,,,,,,,
FAST,BRIEF,,13.8308,,,,,,,,,,,
FAST,BRIEF,,#NAME?,,,,,,,,,,,
FAST,BRIEF,,13.6067,,,,,,,,,,,
FAST,BRIEF,,13.5893,,,,,,,,,,,
FAST,BRIEF,,12.4894,,,,,,,,,,,
FAST,BRIEF,,13.4042,,,,,,,,,,,
FAST,BRIEF,,12.4804,,,,,,,,,,,
FAST,BRIEF,,13.9008,,,,,,,,,,,
FAST,BRIEF,,12.0198,,,,,,,,,,,
FAST,BRIEF,,12.539,,,,,,,,,,,
FAST,BRIEF,,13.0112,,,,,,,,,,,
FAST,BRIEF,,11.8844,,,,,,,,,,,
FAST,BRIEF,,12.1771,,,,,,,,,,,
FAST,BRIEF,,10.6212,,,,,,,,,,,
FAST,BRIEF,,12.5637,,,,,,,,,,,
------------------------------------------------,,#NAME?,#NAME?,,,,,,,,,,,
FAST,FREAK,,12.0672,,,,,,,,,,,
FAST,FREAK,,24.1261,,,,,,,,,,,
FAST,FREAK,,13.752,,,,,,,,,,,
FAST,FREAK,,13.0998,,,,,,,,,,,
FAST,FREAK,,#NAME?,,,,,,,,,,,
FAST,FREAK,,12.6664,,,,,,,,,,,
FAST,FREAK,,12.7282,,,,,,,,,,,
FAST,FREAK,,11.4454,,,,,,,,,,,
FAST,FREAK,,12.3427,,,,,,,,,,,
FAST,FREAK,,12.1195,,,,,,,,,,,
FAST,FREAK,,12.9428,,,,,,,,,,,
FAST,FREAK,,13.4186,,,,,,,,,,,
FAST,FREAK,,12.863,,,,,,,,,,,
FAST,FREAK,,12.332,,,,,,,,,,,
FAST,FREAK,,13.0796,,,,,,,,,,,
FAST,FREAK,,12.5622,,,,,,,,,,,
FAST,FREAK,,11.0288,,,,,,,,,,,
FAST,FREAK,,13.5185,,,,,,,,,,,
------------------------------------------------,,#NAME?,#NAME?,,,,,,,,,,,
HARRIS,SIFT,,8.81335,,,,,,,,,,,
HARRIS,SIFT,,10.195,,,,,,,,,,,
HARRIS,SIFT,,-18.2644,,,,,,,,,,,
HARRIS,SIFT,,11.3951,,,,,,,,,,,
HARRIS,SIFT,,44.9166,,,,,,,,,,,
HARRIS,SIFT,,#NAME?,,,,,,,,,,,
HARRIS,SIFT,,12.9162,,,,,,,,,,,
HARRIS,SIFT,,12.9162,,,,,,,,,,,
HARRIS,SIFT,,nan,,,,,,,,,,,
HARRIS,SIFT,,10.2931,,,,,,,,,,,
HARRIS,SIFT,,23.3405,,,,,,,,,,,
HARRIS,SIFT,,23.3896,,,,,,,,,,,
HARRIS,SIFT,,568.322,,,,,,,,,,,
HARRIS,SIFT,,5.55228,,,,,,,,,,,
HARRIS,SIFT,,-14.7808,,,,,,,,,,,
HARRIS,SIFT,,6.39784,,,,,,,,,,,
HARRIS,SIFT,,nan,,,,,,,,,,,
HARRIS,SIFT,,nan,,,,,,,,,,,
------------------------------------------------,,#NAME?,#NAME?,,,,,,,,,,,
HARRIS,BRISK,,#NAME?,,,,,,,,,,,
HARRIS,BRISK,,nan,,,,,,,,,,,
HARRIS,BRISK,,-80.8525,,,,,,,,,,,
HARRIS,BRISK,,11.3951,,,,,,,,,,,
HARRIS,BRISK,,#NAME?,,,,,,,,,,,
HARRIS,BRISK,,nan,,,,,,,,,,,
HARRIS,BRISK,,12.2,,,,,,,,,,,
HARRIS,BRISK,,12.9162,,,,,,,,,,,
HARRIS,BRISK,,nan,,,,,,,,,,,
HARRIS,BRISK,,nan,,,,,,,,,,,
HARRIS,BRISK,,#NAME?,,,,,,,,,,,
HARRIS,BRISK,,23.3896,,,,,,,,,,,
HARRIS,BRISK,,#NAME?,,,,,,,,,,,
HARRIS,BRISK,,nan,,,,,,,,,,,
HARRIS,BRISK,,-14.7808,,,,,,,,,,,
HARRIS,BRISK,,6.60338,,,,,,,,,,,
HARRIS,BRISK,,nan,,,,,,,,,,,
HARRIS,BRISK,,nan,,,,,,,,,,,
------------------------------------------------,,#NAME?,#NAME?,,,,,,,,,,,
HARRIS,BRIEF,,8.81335,,,,,,,,,,,
HARRIS,BRIEF,,nan,,,,,,,,,,,
HARRIS,BRIEF,,-18.2644,,,,,,,,,,,
HARRIS,BRIEF,,11.3951,,,,,,,,,,,
HARRIS,BRIEF,,44.9166,,,,,,,,,,,
HARRIS,BRIEF,,27.2434,,,,,,,,,,,
HARRIS,BRIEF,,13.1905,,,,,,,,,,,
HARRIS,BRIEF,,12.9162,,,,,,,,,,,
HARRIS,BRIEF,,nan,,,,,,,,,,,
HARRIS,BRIEF,,10.2931,,,,,,,,,,,
HARRIS,BRIEF,,#NAME?,,,,,,,,,,,
HARRIS,BRIEF,,23.3896,,,,,,,,,,,
HARRIS,BRIEF,,#NAME?,,,,,,,,,,,
HARRIS,BRIEF,,5.55228,,,,,,,,,,,
HARRIS,BRIEF,,-14.7808,,,,,,,,,,,
HARRIS,BRIEF,,6.39784,,,,,,,,,,,
HARRIS,BRIEF,,nan,,,,,,,,,,,
HARRIS,BRIEF,,nan,,,,,,,,,,,
------------------------------------------------,,#NAME?,#NAME?,,,,,,,,,,,
HARRIS,FREAK,,8.81335,,,,,,,,,,,
HARRIS,FREAK,,nan,,,,,,,,,,,
HARRIS,FREAK,,-18.2644,,,,,,,,,,,
HARRIS,FREAK,,11.36,,,,,,,,,,,
HARRIS,FREAK,,#NAME?,,,,,,,,,,,
HARRIS,FREAK,,nan,,,,,,,,,,,
HARRIS,FREAK,,#NAME?,,,,,,,,,,,
HARRIS,FREAK,,12.3725,,,,,,,,,,,
HARRIS,FREAK,,nan,,,,,,,,,,,
HARRIS,FREAK,,10.2931,,,,,,,,,,,
HARRIS,FREAK,,#NAME?,,,,,,,,,,,
HARRIS,FREAK,,#NAME?,,,,,,,,,,,
HARRIS,FREAK,,13.4095,,,,,,,,,,,
HARRIS,FREAK,,12.1403,,,,,,,,,,,
HARRIS,FREAK,,#NAME?,,,,,,,,,,,
HARRIS,FREAK,,6.33929,,,,,,,,,,,
HARRIS,FREAK,,nan,,,,,,,,,,,
HARRIS,FREAK,,nan,,,,,,,,,,,
------------------------------------------------,,#NAME?,#NAME?,,,,,,,,,,,
BRISK,SIFT,,13.2775,,,,,,,,,,,
BRISK,SIFT,,18.3232,,,,,,,,,,,
BRISK,SIFT,,15.2779,,,,,,,,,,,
